Score,Business Name,Phone,Website,Address,Rating,Reviews,Facebook Page,Running Ads,Number of Ads,Ad Quality Notes,Outreach Date,Response,Notes,Follow-Up Date
2,Service Pro Heating and Cooling,(734) 288-6036,https://serviceproheatingandcooling.com/?utm_source=gmb&utm_medium=michigan,"1476 McLain Ave, Lincoln Park, MI 48146, USA",5,41,No,No,0,unknown,,,,
2,WAYNE COUNTY HVAC LLC,(313) 460-8724,http://waynecountyhvac.com/,"14120 Wyoming Ave, Detroit, MI 48238, USA",5,34,No,No,0,unknown,,,,
2,Jayco Heating And Cooling,(877) 321-2252,https://jaycohvac.com/,"17605 Hanna St, Melvindale, MI 48122, USA",5,42,No,No,0,unknown,,,,
2,Michigan Comfort Systems,(734) 672-4901,https://www.michigancomfortsystems.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"7823 Allen Rd, Allen Park, MI 48101, USA",4.9,93,No,No,0,unknown,,,,
2,Gomez Mechanical Heating and Cooling,(313) 758-8894,http://www.gomezmechanical.com/,"1036 Buckingham Ave, Lincoln Park, MI 48146, USA",4.9,253,No,No,0,unknown,,,,
2,C & C Heating & Air Conditioning,(586) 315-2899,https://candcheat.com/?utm_source=gbp&utm_medium=organic&utm_campaign=roseville_gbp&utm_id=roseville,"29420 Groesbeck Hwy, Roseville, MI 48066, USA",4.9,7100,No,No,0,unknown,,,,
2,Holiday Heating and Air Conditioning,(586) 209-9702,https://www.holidayheatinggrossepointe.com/,"17133 Mack Ave, Detroit, MI 48224, USA",4.9,49,No,No,0,unknown,,,,
2,"Mechanical Heating, Cooling & Electrical",(248) 465-9089,http://www.mechanicalheating.com/?utm_source=google-map&utm_campaign=gmb&utm_medium=organic,"6192 N Telegraph Rd, Dearborn Heights, MI 48127, USA",4.8,1723,No,No,0,unknown,,,,
2,R & L Heating and Cooling,(734) 221-0009,https://www.rlheating.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"21159 Goddard Rd, Taylor, MI 48180, USA",4.8,745,No,No,0,unknown,,,,
2,Detroit Heating and Cooling Co.,(248) 744-3778,http://www.heatingandcoolingdetroit.com/,"1400 Scott Lake Rd Suite 500, Waterford Township, MI 48328, USA",4.8,179,No,No,0,unknown,,,,
2,National Heating & Cooling Inc,(313) 538-7100,http://www.nationalheating.com/,"23660 Grand River Ave, Detroit, MI 48219, USA",4.7,75,No,No,0,unknown,,,,
2,Manning Mechanical,(313) 693-4232,http://www.manningheatingdetroit.com/,"8800 W McNichols Rd, Detroit, MI 48221, USA",4.7,215,No,No,0,unknown,,,,
2,New Evolution Heating Cooling & Electrical 🔥 🥶,(313) 626-7063,http://www.newevolutionheatcool.com/,"12517 Woodward Ave, Highland Park, MI 48203, USA",4.7,86,No,No,0,unknown,,,,
2,"FLAME Heating, Cooling, Plumbing, Electrical",(586) 500-0862,https://flamefurnace.com/warren/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing-warren,"2200 E 11 Mile Rd, Warren, MI 48091, USA",4.7,3898,No,No,0,unknown,,,,
2,A&H HVAC SERVICES,(313) 724-7723,http://www.aandhhvac.com/,"19649 W Warren Ave, Detroit, MI 48228, USA",4.6,190,No,No,0,unknown,,,,
2,Budget Plumbing Heating & Cooling,(313) 778-3009,,"2678 Calvert Ave, Detroit, MI 48206, USA",4.6,176,No,No,0,unknown,,,,
2,Supreme Heating and Cooling,(313) 885-2400,http://www.supremeheating.com/,"14641 E Warren Ave, Detroit, MI 48215, USA",4.2,168,No,No,0,unknown,,,,
2,Detroit Heating and Air Conditioning,(586) 358-4978,,"3060 E Grand Blvd, Detroit, MI 48202, USA",3.8,54,No,No,0,unknown,,,,
