Score,Business Name,Phone,Website,Address,Rating,Reviews,Facebook Page,Running Ads,Number of Ads,Ad Quality Notes,Outreach Date,Response,Notes,Follow-Up Date
2,JUSTJUNK Detroit,(313) 355-7224,https://justjunk.com/junk-removal-detroit,"47982 West Rd, Wixom, MI 48393, USA",5,428,No,No,0,unknown,,,,
2,Junk Monster Junk Removal and Dumpster Rental,(734) 459-8400,http://www.junkmonster.com/,"705 S Main St Suite 102, Plymouth, MI 48170, USA",5,68,No,No,0,unknown,,,,
2,Two Men and a Junk Truck,(248) 230-5193,https://twomenandajunktruck.com/locations/mi/junk-removal-farmington-hills?utm_source=google&utm_medium=organic&utm_campaign=gbp,"23399 Commerce Dr Suite B, Farmington Hills, MI 48335, USA",5,38,No,No,0,unknown,,,,
2,Two Men and a Junk Truck,(734) 999-4846,http://twomenandajunktruck.com/locations/mi/junk-removal-livonia?utm_source=google&utm_medium=organic&utm_campaign=gbp,"39201 Schoolcraft B18, Livonia, MI 48150, USA",5,152,No,No,0,unknown,,,,
2,Bee Gone Junk Removal,(734) 355-9918,http://beegonejunkremoval.com/?utm_campaign=gmb,"208 E McHattie St Ste 102, South Lyon, MI 48178, USA",5,48,No,No,0,unknown,,,,
2,Veteran Junk Removal,(888) 838-4285,https://veteranjunkremoval.com/,"25920 Northline Commerce Dr Suite # 407, Taylor, MI 48180, USA",5,430,No,No,0,unknown,,,,
2,Cowboys Junk Removal,(248) 965-4488,https://www.cowboysjunkremoval.com/,"28075 David St, Farmington Hills, MI 48334, USA",5,166,No,No,0,unknown,,,,
2,1-800-GOT-JUNK? Oakland County,(313) 356-7916,https://www.1800gotjunk.com/us_en/locations/junk-removal-detroit/us02013?utm_source=googleplus&utm_medium=maps&utm_campaign=oaklandcounty,"24361 Indoplex Cir, Farmington Hills, MI 48335, USA",5,4387,No,No,0,unknown,,,,
2,MICHIGAN JUNK REMOVAL & DUMPSTER RENTAL,(734) 934-2019,,"6103 Wayne Rd, Romulus, MI 48174, USA",5,77,No,No,0,unknown,,,,
2,Junk Dump & Destroyers,(313) 398-8614,http://trailersbusters.com/,"25457 Andover Dr, Dearborn Heights, MI 48125, USA",5,34,No,No,0,unknown,,,,
2,Penguin Junk Removal,(248) 690-5865,https://www.penguinjunkremoval.com/,"32823 W 12 Mile Rd, Farmington Hills, MI 48334, USA",4.9,34,No,No,0,unknown,,,,
