Score,Business Name,Phone,Website,Address,Rating,Reviews,Facebook Page,Running Ads,Number of Ads,Ad Quality Notes,Outreach Date,Response,Notes,Follow-Up Date
2,Heights Dental Tampa,(813) 578-7887,http://www.heightsdentaltampa.com/,"6008 N Florida Ave Suite 110, Tampa, FL 33604, USA",5,318,No,No,0,unknown,,,,
2,North Pointe Dental of North Tampa,(813) 961-1727,http://www.northpointedental.com/,"801 W Fletcher Ave, Tampa, FL 33612, USA",5,1248,No,No,0,unknown,,,,
2,Tampa Bay Smile Makers,(813) 837-3476,https://tampabaysmilemaker.com/?utm_source=local&utm_medium=organic&utm_campaign=GMB,"4208 W Bay to Bay Blvd, Tampa, FL 33629, USA",5,749,No,No,0,unknown,,,,
2,"Weninger Dentistry, PLLC",(813) 872-7057,https://weningerdentistry.com/?utm_source=Local%20GMB&utm_medium=local%20organic,"4030 N Mac Dill Ave, Tampa, FL 33607, USA",5,542,No,No,0,unknown,,,,
2,Fresh Dental Tampa,(813) 308-9504,http://www.freshdentalfl.com/,"2510 W Virginia Ave, Tampa, FL 33607, USA",5,325,No,No,0,unknown,,,,
2,South Tampa Dentistry,(813) 835-0090,http://southtampadentistry.com/,"3308 S Dale Mabry Hwy, Tampa, FL 33629, USA",4.9,4126,No,No,0,unknown,,,,
2,Tampa Dentistry,(813) 333-0633,https://mytampadentistry.com/,"1311 W Busch Blvd, Tampa, FL 33612, USA",4.9,977,No,No,0,unknown,,,,
2,Jackson Dental,(813) 701-3141,https://www.jacksondentaltampa.com/,"101 E Kennedy Blvd #300, Tampa, FL 33602, USA",4.9,1399,No,No,0,unknown,,,,
2,Tampa Smile Co. - South Tampa,(813) 837-2380,https://tampasmileco.com/south-tampa/,"3404 S Dale Mabry Hwy, Tampa, FL 33629, USA",4.9,1825,No,No,0,unknown,,,,
2,Tampa Dental,(813) 888-9004,https://www.tampadental.com/,"6421 Sheldon Rd, Tampa, FL 33615, USA",4.9,1073,No,No,0,unknown,,,,
2,South Tampa Smiles,(863) 209-7744,https://www.southtampasmiles.com/?utm_campaign=gmb,"4315 Henderson Blvd, Tampa, FL 33629, USA",4.9,2291,No,No,0,unknown,,,,
2,"Tampa Dental Wellness of Carrollwood | Restorative, Cosmetic, Dental Implants & General Dentist Tampa",(813) 265-2273,https://dentistcarrollwood.com/?utm_source=gmb&utm_medium=organic,"11123 N Dale Mabry Hwy, Tampa, FL 33618, USA",4.9,549,No,No,0,unknown,,,,
2,Seminole Heights Family Dentistry,(813) 882-5211,https://www.sh-dentist.com/,"300 W Hillsborough Ave, Tampa, FL 33604, USA",4.9,468,No,No,0,unknown,,,,
2,Bay Premier Dentistry - Tampa,(813) 692-6965,https://baypremierdentistry.com/?utm_source=GoogleOrganic&utm_medium=GMBwebsite&utm_campaign=GMBWebsiteLink,"10330 N Dale Mabry Hwy Ste 150, Tampa, FL 33618, USA",4.9,623,No,No,0,unknown,,,,
2,General and Cosmetic Dentistry of Tampa - Randall Diez and Michael Diez,(813) 960-5869,https://www.tampacosmeticdentist.com/,"5010 Gunn Hwy, Tampa, FL 33624, USA",4.9,643,No,No,0,unknown,,,,
2,"Tampa Smiles: John L. Redd II, DMD",(813) 981-7517,https://www.tampasmiles.com/,"907 W Platt St, Tampa, FL 33606, USA",4.9,464,No,No,0,unknown,,,,
2,Playa Family Dentistry Tampa,(813) 553-5590,https://www.playafamilydentistry.com/?UTM_source=GMB_listing&UTM_medium=organic&UTM_campaign=Website_URL,"4340 W Hillsborough Ave Ste 702, Tampa, FL 33614, USA",4.9,764,No,No,0,unknown,,,,
2,Tampa Palms Dentistry,(813) 333-1922,https://tampapalmsdentistry.com/?utm_campaign=gmb,"14945 Bruce B Downs Blvd, Tampa, FL 33613, USA",4.8,1196,No,No,0,unknown,,,,
2,Advanced Dental Care of Tampa,(813) 603-5109,https://www.adc-fl.com/dentist-office/tampa-fl-33614?utm_source=Google&utm_medium=KnowledgePanel&utm_campaign=Website,"3922 W Hillsborough Ave, Tampa, FL 33614, USA",4.7,810,No,No,0,unknown,,,,
2,Dental Walk-In Clinic of Tampa Bay,(813) 636-9400,http://www.dentalwalkin.com/,"4240 W Kennedy Blvd, Tampa, FL 33609, USA",4.5,1602,No,No,0,unknown,,,,
